targets,copolymer,A2245273601,A4071909377,A1459140616,A3341916169,A3001458698,A1508020232,A370718733,A1040949262,A2966050835,A2239639576,A2458968089,A27979804,A1730555933,A1063794729,A4109680682,A1995458611,A1446633534,A1110612033,A2312669254,A2439737417,A2245384272,A2620926036,A589930590,A910450790,A3957411950,A2245277810,A451448947,A4078616692,A1026928756,A2720313463,A422735999,A65036417,A881932415,A2889224323,A2533439618,A3068360839,A478150792,A4240709783,A2599598242,A174348455,A1366143150,A1992087727,A1538830519,A668520641,A269959362,A3157481675,A3353919692,A3130706129,A4234240219,A997097697,A471486690,A977565923,A3631032570,A3754877180,A1751929091,A763762952,A208285974,A1429883190,A10565946,A2223687999,A3162837314,A507384136,A3982076256,A231600494,A3806466426,A2041434490,A3880022399,A2763854213,A3537123720,A1982474688,A95060427,A2784256475,A1186671090,A1490397683,A3599491590,A390738481,A3454931564,A720822897,A2084364935,A1549284008,A864674487,A3138468577,A3431531268,A644322065,A4268956439,A864662311,A994485099,A4256002933,A3975295864,A4216335232,A4158944142,A2968968094,A64070612,A2592785365,A1323467736,A1348563946,A2976033787,A3692055567,A2246728737,A2654741547,A98513984,A1422193787,A1543552144,A847957139,A628810978,A3372254436,A1466170618,A3322645827,A3983062349,A2929966416,A3217380708,A3124581743,A1100037548,A1083852209,A1050207714,A2295371384,A422715066,A951226070,A4121755354,A1323888424,A2360741695,A1101907775,G1459140616,G3341916169,G670646308,G3346153511,G1063794729,G3974328374,G68675643,G922200166,G3221123175,G1026928756,G2889224323,G199889041,G4290259127,G668520641,G1824088295,G1333309687,G2960894223,G2863872304,G10565946,G2223687999,G275607895,G2471530844,G3559852389,G2346998278,G617798156,G3319978521,G3454931564,G2434951923,G229241619,G2793650987,G994485099,G2968968094,G2976033787,G3999906991,G1755989257,G2117068077,G3933537673,G4195680018
450.0,0,3.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0,0.0,2,0.0,0,0.0,8.0,0,0.0,2.0,1,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
559.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.98,0,0,0,0.0,0,1.98,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,1.98,0,0.0,0.0,0,0.0,0,0.0,0.01,0,0.0,0,0,0,0.0,0,1.98,1.98,0.0,0.0,0.0,0.0,0,0.0,1.98,0.0,1.98,0.0,0,0.06,0.0,0.0,0,0,0.02,0.0,0,0.0,0.0,0.0,1.98,2.0,0,0.0,0,0.0,0,0.0,5.94,0,0.0,1.98,0,0.0,0,3.96,0,0,0.0,0.0,0.0,0,0,0,0,1.6,0.4,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.4,2.0
472.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,8.0,0,2.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0,8.0,0,0,0,0,0,0,0,0.0,4.0,0,0,4.0,0,0,0.0,2.0,0,0.0,4.0
500.0,0,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,3.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,5.0,0,0.0,2.0,1,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
454.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
490.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,2,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,4,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,2,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
340.0,0,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,1.0,1.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,2.0,0,0.0,0,0.0,0,0.0,4.0,0,1.0,1.0,0,0.0,0,6.0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
407.0,1,0.3,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.3,0.3,0.3,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.7,0,0,0,0.0,0,0,1.4,0,0,1.7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.7,0,0.0,0,0.0,0.3,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.3,0.0,0,0.3,0.0,0.0,1.7,0.0,0,0.0,0.0,0.3,0,0,0.0,0.0,0,0.0,0.0,0.0,3.1,2.0,0,0.7,0,0.0,0,1.4,4.0,0,0.3,1.7,0,0.0,0,7.4,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
420.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0,0.0,0,0.0,0,0.0,8.0,0,0.0,2.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,4,4.0,0,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0,6,0.0,0.0,0,0.0,2.0
462.0,0,3.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1.0,0,0.0,0.0,0,1.0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,2.0,2,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,3.0,0.0,0.0,2.0,0,0.0,2,0.0,0,0.0,9.0,0,0.0,2.0,1,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,0,0,2.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
510.0,0,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,3.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,5.0,0,0.0,2.0,1,0.0,0,10.0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
445.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
439.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,1.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,2,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,2,0,0.0,0.0,0,0,2.0,4,2,0.0,0.0,2,0.0,2.0
556.0,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,2.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0,0.0,1.0,0.0,4.0,2.0,0,2.0,0,1.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0.8,0.0,0,0,0,0,0,1.2,0.0,0,0.8,0.8,0,4.0,0,0,0,0,0,0,0,0.0,0.4,0,0,1.2,0,0,0.0,0.2,0,0.0,2.0
514.0,0,0.0,0.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,2.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,2,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,2,0.0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,2,2.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,10.0,0,0.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
471.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,2,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,8.0,0,2.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
438.0,0,3.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,1,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0,0.0,2,0.0,0,0.0,8.0,0,0.0,2.0,1,0.0,0,8.0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
395.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,2.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,4,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,0.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,2,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,2,0,0,2,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
608.0,0,0.0,0.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0,2.0,0,0,0,0.0,0,0,2.0,0,0,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,0.0,0.0,0,0.0,2,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,4.0,2.0,0,2.0,0,0.0,0,2.0,8.0,0,0.0,2.0,0,0.0,0,16.0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
445.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,2.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0,0.0,1.0,0.0,4.0,2.0,0,2.0,0,1.0,0,2.0,6.0,0,0.0,2.0,0,0.0,0,10.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,2,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,2,0,0.0,0.0,0,0,2.0,4,2,0.0,0.0,2,0.0,2.0
477.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,4.0,0,0.0,0.0,3.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,1.0,0,0.0,0,0.0,8.0,0,2.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,1.0,0,0.0,2.0
431.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,2.0,0,0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,2,2.0,2,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,2.0,0.0,2.0,2.0,0.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,2.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,10.0,0,0.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,2,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,2,0,0.0,0.0,0,0,2.0,4,2,0.0,0.0,2,0.0,2.0
489.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,2,0,0.0,2,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,2.0,0.0,0.0,4.0,2,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,2.0,0,0.0,0,0.0,0,0.0,10.0,2,2.0,2.0,0,0.0,2,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
515.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,2.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,2.0,0,0.0,0,0.0,0,0.0,2.0,0,0.0,0.0,0,0.0,0,2.0,2,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2.0,2.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
465.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,2.0,0.0,0.0,0,0.0,0,0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,0.0,0,0.0,8.0,0,2.0,2.0,0,0.0,0,12.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,1,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,2.0
559.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,2.0,0,0,2.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,1.0,0,0.0,0,2.0,4.0,0,0.0,2.0,0,0.0,0,8.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2.0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,2.0,2.0
570.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,2.0,0,0,0,0.0,0,0,2.0,0,2,4.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,4.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,2.0,0,2.0,0,0.0,0,2.0,8.0,0,0.0,2.0,0,0.0,0,16.0,0,0,0.0,0.0,0.0,0,4,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,0,0.0,0.0,0,0.0,0.0
